Campaign_ID,Campaign_Type,Target_Audience,Duration_in_Days,Channel_Used,Conversion_Rate,ROI,Location,Language,Customer_Segment,Date,Engagement_Score_Segment
2,Email,Women 35-44,60,Google Ads,0.12,5.61,New York,German,Fashionistas,1/2/21,Greater than or equal to 7
4,Display,All Ages,60,YouTube,0.11,5.55,Miami,Mandarin,Health & Wellness,1/4/21,Greater than or equal to 7
7,Email,Women 35-44,60,Website,0.13,2.86,Los Angeles,Spanish,Tech Enthusiasts,1/7/21,Greater than or equal to 7
8,Search,Men 18-24,45,Google Ads,0.08,5.55,Los Angeles,Mandarin,Outdoor Adventurers,1/8/21,Greater than or equal to 7
11,Display,Men 25-34,45,Email,0.12,3.49,New York,Spanish,Tech Enthusiasts,1/11/21,Greater than or equal to 7
13,Social Media,Men 25-34,60,Facebook,0.09,4.91,Chicago,Mandarin,Tech Enthusiasts,1/13/21,Greater than or equal to 7
18,Influencer,Men 18-24,15,Instagram,0.14,4.48,Miami,French,Health & Wellness,1/18/21,Greater than or equal to 7
24,Email,Women 25-34,15,Facebook,0.04,7.31,Miami,Spanish,Health & Wellness,1/24/21,Greater than or equal to 7
26,Search,Women 25-34,45,Instagram,0.04,6.23,Houston,English,Health & Wellness,1/26/21,Greater than or equal to 7
29,Influencer,Men 18-24,60,Email,0.09,7.12,Chicago,Spanish,Tech Enthusiasts,1/29/21,Greater than or equal to 7
32,Influencer,All Ages,45,YouTube,0.07,6.83,New York,English,Foodies,2/1/21,Greater than or equal to 7
33,Display,Women 35-44,45,Email,0.06,4.42,New York,Spanish,Foodies,2/2/21,Greater than or equal to 7
38,Influencer,Men 18-24,60,Facebook,0.06,2.62,Houston,French,Tech Enthusiasts,2/7/21,Greater than or equal to 7
39,Search,Men 25-34,30,Instagram,0.11,2.21,Chicago,Spanish,Tech Enthusiasts,2/8/21,Greater than or equal to 7
45,Email,Men 18-24,45,Google Ads,0.04,3.31,Miami,English,Tech Enthusiasts,2/14/21,Greater than or equal to 7
46,Display,Women 35-44,60,Google Ads,0.03,6.8,Miami,English,Health & Wellness,2/15/21,Greater than or equal to 7
50,Social Media,Women 25-34,45,Email,0.11,3.98,Los Angeles,German,Tech Enthusiasts,2/19/21,Greater than or equal to 7
51,Search,Men 25-34,60,Facebook,0.12,5.79,Los Angeles,French,Foodies,2/20/21,Greater than or equal to 7
52,Search,Men 25-34,15,Website,0.1,6.48,Houston,French,Foodies,2/21/21,Greater than or equal to 7
54,Display,Women 35-44,45,YouTube,0.02,3.35,New York,English,Outdoor Adventurers,2/23/21,Greater than or equal to 7
55,Social Media,Men 18-24,30,YouTube,0.05,6.15,Miami,Spanish,Foodies,2/24/21,Greater than or equal to 7
56,Display,Men 25-34,15,Website,0.13,3.7,Miami,English,Health & Wellness,2/25/21,Greater than or equal to 7
57,Email,Women 35-44,15,Website,0.04,6.66,Chicago,English,Foodies,2/26/21,Greater than or equal to 7
60,Display,Men 25-34,15,Email,0.05,6.8,Miami,French,Health & Wellness,3/1/21,Greater than or equal to 7
64,Search,Men 18-24,30,Facebook,0.02,3.71,Chicago,English,Outdoor Adventurers,3/5/21,Greater than or equal to 7
65,Display,All Ages,45,Website,0.11,7.43,Houston,French,Fashionistas,3/6/21,Greater than or equal to 7
66,Search,All Ages,60,YouTube,0.04,7.28,Los Angeles,Mandarin,Health & Wellness,3/7/21,Greater than or equal to 7
67,Display,Women 25-34,30,YouTube,0.07,6.33,Miami,Spanish,Foodies,3/8/21,Greater than or equal to 7
69,Display,All Ages,15,Facebook,0.03,7.98,Chicago,French,Tech Enthusiasts,3/10/21,Greater than or equal to 7
71,Search,Men 25-34,30,Website,0.13,5.58,New York,German,Tech Enthusiasts,3/12/21,Greater than or equal to 7
72,Social Media,All Ages,15,Email,0.03,5.61,Chicago,French,Health & Wellness,3/13/21,Greater than or equal to 7
73,Social Media,Women 35-44,15,YouTube,0.13,7.46,Miami,English,Health & Wellness,3/14/21,Greater than or equal to 7
74,Influencer,All Ages,45,Facebook,0.1,5.63,New York,German,Foodies,3/15/21,Greater than or equal to 7
77,Display,Men 18-24,45,Google Ads,0.08,3.23,Chicago,German,Foodies,3/18/21,Greater than or equal to 7
85,Influencer,Women 35-44,60,Email,0.15,2.3,Houston,French,Health & Wellness,3/26/21,Greater than or equal to 7
87,Email,Women 25-34,15,YouTube,0.15,2.22,Miami,Mandarin,Fashionistas,3/28/21,Greater than or equal to 7
90,Display,All Ages,15,Instagram,0.07,2.01,Houston,German,Tech Enthusiasts,3/31/21,Greater than or equal to 7
93,Display,Women 35-44,15,Instagram,0.05,2.57,Chicago,English,Fashionistas,4/3/21,Greater than or equal to 7
94,Display,Men 25-34,45,Instagram,0.01,7.19,New York,French,Health & Wellness,4/4/21,Greater than or equal to 7
95,Search,Men 18-24,45,Facebook,0.08,4.93,Miami,German,Foodies,4/5/21,Greater than or equal to 7
97,Email,Women 25-34,15,Instagram,0.14,3.69,Miami,French,Health & Wellness,4/7/21,Greater than or equal to 7
99,Search,All Ages,60,Instagram,0.02,3.12,New York,French,Foodies,4/9/21,Greater than or equal to 7
106,Social Media,Women 25-34,30,Email,0.09,3.35,Chicago,Spanish,Fashionistas,4/16/21,Greater than or equal to 7
109,Search,Men 25-34,30,Instagram,0.05,4.79,Houston,Spanish,Fashionistas,4/19/21,Greater than or equal to 7
111,Influencer,All Ages,60,Facebook,0.05,5.39,Houston,German,Outdoor Adventurers,4/21/21,Greater than or equal to 7
