Campaign_ID,Campaign_Type,Channel_Used,Conversion_Rate,Customer_Segment,Date,Engagement_Score_Segment,Click_Thru_Rate
2,Email,Google Ads,0.12,Fashionistas,Saturday,Greater than or equal to 7,0.015419381
4,Display,YouTube,0.11,Health & Wellness,Monday,Greater than or equal to 7,0.119230769
7,Email,Website,0.13,Tech Enthusiasts,Thursday,Greater than or equal to 7,0.093382101
8,Search,Google Ads,0.08,Outdoor Adventurers,Friday,Greater than or equal to 7,0.079449962
11,Display,Email,0.12,Tech Enthusiasts,Monday,Greater than or equal to 7,0.048430899
13,Social Media,Facebook,0.09,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.076783486
18,Influencer,Instagram,0.14,Health & Wellness,Monday,Greater than or equal to 7,0.023531952
24,Email,Facebook,0.04,Health & Wellness,Sunday,Greater than or equal to 7,0.354195642
26,Search,Instagram,0.04,Health & Wellness,Tuesday,Greater than or equal to 7,0.098227295
29,Influencer,Email,0.09,Tech Enthusiasts,Friday,Greater than or equal to 7,0.050393701
32,Influencer,YouTube,0.07,Foodies,Monday,Greater than or equal to 7,0.107105719
33,Display,Email,0.06,Foodies,Tuesday,Greater than or equal to 7,0.114045991
38,Influencer,Facebook,0.06,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.085243553
39,Search,Instagram,0.11,Tech Enthusiasts,Monday,Greater than or equal to 7,0.069988388
45,Email,Google Ads,0.04,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.035083354
46,Display,Google Ads,0.03,Health & Wellness,Monday,Greater than or equal to 7,0.1234445
50,Social Media,Email,0.11,Tech Enthusiasts,Friday,Greater than or equal to 7,0.020333469
51,Search,Facebook,0.12,Foodies,Saturday,Greater than or equal to 7,0.015833629
52,Search,Website,0.1,Foodies,Sunday,Greater than or equal to 7,0.066829417
54,Display,YouTube,0.02,Outdoor Adventurers,Tuesday,Greater than or equal to 7,0.113315045
55,Social Media,YouTube,0.05,Foodies,Wednesday,Greater than or equal to 7,0.074850299
56,Display,Website,0.13,Health & Wellness,Thursday,Greater than or equal to 7,0.020869973
57,Email,Website,0.04,Foodies,Friday,Greater than or equal to 7,0.07728558
60,Display,Email,0.05,Health & Wellness,Monday,Greater than or equal to 7,0.07483192
64,Search,Facebook,0.02,Outdoor Adventurers,Friday,Greater than or equal to 7,0.023098138
65,Display,Website,0.11,Fashionistas,Saturday,Greater than or equal to 7,0.071037053
66,Search,YouTube,0.04,Health & Wellness,Sunday,Greater than or equal to 7,0.037044374
67,Display,YouTube,0.07,Foodies,Monday,Greater than or equal to 7,0.150655414
69,Display,Facebook,0.03,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.093452321
71,Search,Website,0.13,Tech Enthusiasts,Friday,Greater than or equal to 7,0.02994811
72,Social Media,Email,0.03,Health & Wellness,Saturday,Greater than or equal to 7,0.045281376
73,Social Media,YouTube,0.13,Health & Wellness,Sunday,Greater than or equal to 7,0.057605761
74,Influencer,Facebook,0.1,Foodies,Monday,Greater than or equal to 7,0.081366965
77,Display,Google Ads,0.08,Foodies,Thursday,Greater than or equal to 7,0.089754147
85,Influencer,Email,0.15,Health & Wellness,Friday,Greater than or equal to 7,0.074333801
87,Email,YouTube,0.15,Fashionistas,Sunday,Greater than or equal to 7,0.072677808
90,Display,Instagram,0.07,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.143266476
93,Display,Instagram,0.05,Fashionistas,Saturday,Greater than or equal to 7,0.119050641
94,Display,Instagram,0.01,Health & Wellness,Sunday,Greater than or equal to 7,0.022625827
95,Search,Facebook,0.08,Foodies,Monday,Greater than or equal to 7,0.180927955
97,Email,Instagram,0.14,Health & Wellness,Wednesday,Greater than or equal to 7,0.064977792
99,Search,Instagram,0.02,Foodies,Friday,Greater than or equal to 7,0.076390035
106,Social Media,Email,0.09,Fashionistas,Friday,Greater than or equal to 7,0.162838034
109,Search,Instagram,0.05,Fashionistas,Monday,Greater than or equal to 7,0.077966102
111,Influencer,Facebook,0.05,Outdoor Adventurers,Wednesday,Greater than or equal to 7,0.179564033
113,Display,Google Ads,0.02,Health & Wellness,Friday,Greater than or equal to 7,0.080633549
115,Email,Google Ads,0.11,Fashionistas,Sunday,Greater than or equal to 7,0.143877882
116,Social Media,Facebook,0.09,Tech Enthusiasts,Monday,Greater than or equal to 7,0.091635916
119,Display,YouTube,0.14,Foodies,Thursday,Greater than or equal to 7,0.167868177
120,Display,YouTube,0.07,Tech Enthusiasts,Friday,Greater than or equal to 7,0.090142745
121,Email,Facebook,0.02,Outdoor Adventurers,Saturday,Greater than or equal to 7,0.185405644
125,Email,Website,0.13,Foodies,Wednesday,Greater than or equal to 7,0.220236766
126,Email,Google Ads,0.02,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.065719361
129,Email,Instagram,0.06,Health & Wellness,Sunday,Greater than or equal to 7,0.028945074
131,Email,Instagram,0.11,Fashionistas,Tuesday,Greater than or equal to 7,0.458074534
133,Social Media,Instagram,0.14,Fashionistas,Thursday,Greater than or equal to 7,0.212760675
134,Search,Facebook,0.1,Foodies,Friday,Greater than or equal to 7,0.256396588
135,Display,Google Ads,0.04,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.132440673
136,Email,Email,0.15,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.156526088
139,Email,Website,0.07,Outdoor Adventurers,Wednesday,Greater than or equal to 7,0.038029661
142,Influencer,Google Ads,0.08,Health & Wellness,Saturday,Greater than or equal to 7,0.148193616
156,Influencer,Instagram,0.07,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.076668568
157,Display,Facebook,0.09,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.053896577
161,Search,Website,0.05,Fashionistas,Thursday,Greater than or equal to 7,0.064597315
162,Social Media,YouTube,0.07,Foodies,Friday,Greater than or equal to 7,0.026958452
163,Email,Google Ads,0.04,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.217697907
165,Email,Email,0.07,Foodies,Monday,Greater than or equal to 7,0.267563528
167,Search,Instagram,0.08,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.115486194
169,Influencer,Email,0.03,Tech Enthusiasts,Friday,Greater than or equal to 7,0.069163792
170,Search,Google Ads,0.07,Foodies,Saturday,Greater than or equal to 7,0.610260337
171,Social Media,Website,0.06,Foodies,Sunday,Greater than or equal to 7,0.266453929
173,Influencer,YouTube,0.11,Foodies,Tuesday,Greater than or equal to 7,0.084085955
175,Search,Instagram,0.1,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.055775873
179,Display,Email,0.13,Foodies,Monday,Greater than or equal to 7,0.026241289
180,Display,Google Ads,0.01,Tech Enthusiasts,Tuesday,Greater than or equal to 7,0.132187707
181,Display,Email,0.07,Fashionistas,Wednesday,Greater than or equal to 7,0.259705882
182,Influencer,Facebook,0.06,Tech Enthusiasts,Thursday,Greater than or equal to 7,0.634774609
184,Social Media,Email,0.06,Fashionistas,Saturday,Greater than or equal to 7,0.123200781
185,Influencer,Instagram,0.14,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.11339233
188,Influencer,Instagram,0.11,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.059701493
190,Influencer,Email,0.06,Tech Enthusiasts,Friday,Greater than or equal to 7,0.043355657
191,Social Media,Website,0.12,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.047364636
194,Email,Google Ads,0.1,Foodies,Tuesday,Greater than or equal to 7,0.315671642
195,Email,Email,0.07,Foodies,Wednesday,Greater than or equal to 7,0.097914494
196,Display,YouTube,0.02,Health & Wellness,Thursday,Greater than or equal to 7,0.025857732
200,Influencer,Google Ads,0.02,Outdoor Adventurers,Monday,Greater than or equal to 7,0.026554698
202,Influencer,Instagram,0.13,Foodies,Wednesday,Greater than or equal to 7,0.137527115
203,Display,Email,0.1,Tech Enthusiasts,Thursday,Greater than or equal to 7,0.06594942
204,Influencer,Google Ads,0.15,Foodies,Friday,Greater than or equal to 7,0.119434817
205,Influencer,Email,0.11,Foodies,Saturday,Greater than or equal to 7,0.113891286
208,Display,Google Ads,0.11,Health & Wellness,Tuesday,Greater than or equal to 7,0.104633782
209,Display,Google Ads,0.11,Health & Wellness,Wednesday,Greater than or equal to 7,0.044618282
210,Display,Email,0.08,Health & Wellness,Thursday,Greater than or equal to 7,0.068428854
211,Search,Website,0.08,Health & Wellness,Friday,Greater than or equal to 7,0.097320327
217,Search,Google Ads,0.11,Fashionistas,Thursday,Greater than or equal to 7,0.061578578
219,Search,Email,0.08,Foodies,Saturday,Greater than or equal to 7,0.017403085
220,Influencer,Email,0.03,Fashionistas,Sunday,Greater than or equal to 7,0.2578125
225,Email,Instagram,0.12,Outdoor Adventurers,Friday,Greater than or equal to 7,0.039037564
237,Search,Email,0.14,Health & Wellness,Wednesday,Greater than or equal to 7,0.038198313
240,Email,Google Ads,0.1,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.017755894
247,Social Media,Google Ads,0.15,Health & Wellness,Saturday,Greater than or equal to 7,0.200124172
248,Social Media,Google Ads,0.15,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.080887451
250,Display,Email,0.13,Fashionistas,Tuesday,Greater than or equal to 7,0.465248963
251,Display,Website,0.1,Fashionistas,Wednesday,Greater than or equal to 7,0.020293123
253,Search,Email,0.08,Tech Enthusiasts,Friday,Greater than or equal to 7,0.020657277
254,Influencer,Facebook,0.07,Foodies,Saturday,Greater than or equal to 7,0.104477612
256,Influencer,YouTube,0.08,Health & Wellness,Monday,Greater than or equal to 7,0.029915106
257,Display,YouTube,0.02,Foodies,Tuesday,Greater than or equal to 7,0.08596545
263,Search,Google Ads,0.12,Tech Enthusiasts,Monday,Greater than or equal to 7,0.026594755
264,Social Media,Email,0.05,Health & Wellness,Tuesday,Greater than or equal to 7,0.087045362
265,Social Media,Facebook,0.07,Foodies,Wednesday,Greater than or equal to 7,0.02966613
267,Social Media,Website,0.07,Outdoor Adventurers,Friday,Greater than or equal to 7,0.046538624
