,Title,Console,Genre,Critic_Score,Total_Sales,NorthAmerica_Sales,Japan_Sales,EuropeAndAfrica_Sales,World_Sales,Release_Year
0,Grand Theft Auto V,PS3,Action,9.4,20.32,6.37,0.99,9.85,3.12,2013
1,Grand Theft Auto V,PS4,Action,9.7,19.39,6.06,0.6,9.71,3.02,2014
2,Grand Theft Auto: Vice City,PS2,Action,9.6,16.15,8.41,0.47,5.49,1.78,2002
3,Grand Theft Auto V,X360,Action,9.6,15.86,9.06,0.06,5.33,1.42,2013
4,Call of Duty: Black Ops 3,PS4,Shooter,8.1,15.09,6.18,0.41,6.05,2.44,2015
5,Call of Duty: Modern Warfare 3,X360,Shooter,8.7,14.82,9.07,0.13,4.29,1.33,2011
6,Call of Duty: Black Ops,X360,Shooter,8.8,14.74,9.76,0.11,3.73,1.14,2010
7,Red Dead Redemption 2,PS4,Action-Adventure,9.8,13.94,5.26,0.21,6.21,2.26,2018
8,Call of Duty: Black Ops II,X360,Shooter,8.4,13.86,8.27,0.07,4.32,1.2,2012
9,Call of Duty: Black Ops II,PS3,Shooter,8.0,13.8,4.99,0.65,5.88,2.28,2012
10,Call of Duty: Modern Warfare 2,X360,Shooter,9.5,13.53,8.54,0.08,3.63,1.28,2009
11,Call of Duty: WWII,PS4,Shooter,8.1,13.4,4.67,0.4,6.21,2.12,2017
12,Call of Duty: Modern Warfare 3,PS3,Shooter,8.8,13.35,5.54,0.49,5.78,1.54,2011
13,Grand Theft Auto III,PS2,Action,9.5,13.1,6.99,0.3,4.51,1.3,2001
14,Call of Duty: Black Ops,PS3,Shooter,8.7,12.67,6.01,0.48,4.4,1.78,2010
15,FIFA 18,PS4,Sports,8.3,11.8,1.27,0.15,8.64,1.73,2017
16,Grand Theft Auto IV,X360,Action,10.0,11.09,6.8,0.14,3.11,1.04,2008
17,FIFA 17,PS4,Sports,8.9,10.94,1.26,0.12,7.95,1.61,2016
18,Call of Duty: Modern Warfare 2,PS3,Shooter,9.5,10.61,4.99,0.38,3.66,1.59,2009
19,Grand Theft Auto IV,PS3,Action,10.0,10.57,4.79,0.44,3.73,1.62,2008
20,Call of Duty: Ghosts,X360,Shooter,6.9,10.41,6.76,0.04,2.64,0.98,2013
21,Call of Duty: Ghosts,PS3,Shooter,7.5,10.13,4.11,0.39,4.01,1.62,2013
