Campaign_ID,Conversion_Rate,ROI,Location,Language,Engagement_Score_Segment
2,0.12,5.61,New York,German,Greater than or equal to 7
4,0.11,5.55,Miami,Mandarin,Greater than or equal to 7
7,0.13,2.86,Los Angeles,Spanish,Greater than or equal to 7
8,0.08,5.55,Los Angeles,Mandarin,Greater than or equal to 7
11,0.12,3.49,New York,Spanish,Greater than or equal to 7
13,0.09,4.91,Chicago,Mandarin,Greater than or equal to 7
18,0.14,4.48,Miami,French,Greater than or equal to 7
24,0.04,7.31,Miami,Spanish,Greater than or equal to 7
26,0.04,6.23,Houston,English,Greater than or equal to 7
29,0.09,7.12,Chicago,Spanish,Greater than or equal to 7
32,0.07,6.83,New York,English,Greater than or equal to 7
33,0.06,4.42,New York,Spanish,Greater than or equal to 7
38,0.06,2.62,Houston,French,Greater than or equal to 7
39,0.11,2.21,Chicago,Spanish,Greater than or equal to 7
45,0.04,3.31,Miami,English,Greater than or equal to 7
46,0.03,6.8,Miami,English,Greater than or equal to 7
50,0.11,3.98,Los Angeles,German,Greater than or equal to 7
51,0.12,5.79,Los Angeles,French,Greater than or equal to 7
52,0.1,6.48,Houston,French,Greater than or equal to 7
54,0.02,3.35,New York,English,Greater than or equal to 7
55,0.05,6.15,Miami,Spanish,Greater than or equal to 7
56,0.13,3.7,Miami,English,Greater than or equal to 7
57,0.04,6.66,Chicago,English,Greater than or equal to 7
60,0.05,6.8,Miami,French,Greater than or equal to 7
64,0.02,3.71,Chicago,English,Greater than or equal to 7
65,0.11,7.43,Houston,French,Greater than or equal to 7
66,0.04,7.28,Los Angeles,Mandarin,Greater than or equal to 7
67,0.07,6.33,Miami,Spanish,Greater than or equal to 7
69,0.03,7.98,Chicago,French,Greater than or equal to 7
71,0.13,5.58,New York,German,Greater than or equal to 7
72,0.03,5.61,Chicago,French,Greater than or equal to 7
73,0.13,7.46,Miami,English,Greater than or equal to 7
74,0.1,5.63,New York,German,Greater than or equal to 7
77,0.08,3.23,Chicago,German,Greater than or equal to 7
85,0.15,2.3,Houston,French,Greater than or equal to 7
87,0.15,2.22,Miami,Mandarin,Greater than or equal to 7
90,0.07,2.01,Houston,German,Greater than or equal to 7
93,0.05,2.57,Chicago,English,Greater than or equal to 7
94,0.01,7.19,New York,French,Greater than or equal to 7
95,0.08,4.93,Miami,German,Greater than or equal to 7
97,0.14,3.69,Miami,French,Greater than or equal to 7
99,0.02,3.12,New York,French,Greater than or equal to 7
106,0.09,3.35,Chicago,Spanish,Greater than or equal to 7
109,0.05,4.79,Houston,Spanish,Greater than or equal to 7
111,0.05,5.39,Houston,German,Greater than or equal to 7
113,0.02,2.01,Miami,Mandarin,Greater than or equal to 7
115,0.11,2.72,Houston,German,Greater than or equal to 7
116,0.09,3.7,Los Angeles,German,Greater than or equal to 7
119,0.14,3.71,Los Angeles,German,Greater than or equal to 7
120,0.07,7.65,Miami,Mandarin,Greater than or equal to 7
121,0.02,7.58,Houston,English,Greater than or equal to 7
125,0.13,6.08,Chicago,Mandarin,Greater than or equal to 7
126,0.02,5.5,Miami,English,Greater than or equal to 7
129,0.06,4.32,New York,Spanish,Greater than or equal to 7
131,0.11,6.63,New York,Spanish,Greater than or equal to 7
133,0.14,7.54,Houston,German,Greater than or equal to 7
134,0.1,2.41,Miami,English,Greater than or equal to 7
135,0.04,6.46,Chicago,French,Greater than or equal to 7
136,0.15,3.56,New York,Spanish,Greater than or equal to 7
139,0.07,3.77,Chicago,German,Greater than or equal to 7
142,0.08,3.48,Houston,English,Greater than or equal to 7
156,0.07,3.31,Los Angeles,French,Greater than or equal to 7
157,0.09,4.74,Houston,Mandarin,Greater than or equal to 7
161,0.05,6.55,Miami,English,Greater than or equal to 7
162,0.07,5.28,Chicago,German,Greater than or equal to 7
163,0.04,3.09,Los Angeles,Spanish,Greater than or equal to 7
165,0.07,3.17,Houston,English,Greater than or equal to 7
167,0.08,7.24,Los Angeles,English,Greater than or equal to 7
169,0.03,4.36,Los Angeles,English,Greater than or equal to 7
170,0.07,5.41,Los Angeles,English,Greater than or equal to 7
171,0.06,4.62,Miami,Mandarin,Greater than or equal to 7
173,0.11,3.76,Los Angeles,German,Greater than or equal to 7
175,0.1,5.29,Los Angeles,French,Greater than or equal to 7
179,0.13,4.91,Miami,Mandarin,Greater than or equal to 7
180,0.01,6.29,Chicago,Spanish,Greater than or equal to 7
181,0.07,4.29,New York,Mandarin,Greater than or equal to 7
182,0.06,2.58,Los Angeles,Spanish,Greater than or equal to 7
184,0.06,3.97,Chicago,Spanish,Greater than or equal to 7
